code;name
SECTION A;AGRICULTURE, SYLVICULTURE ET PÊCHE
1;Culture et production animale, chasse et services annexes
1.1;Cultures non permanentes
1.11;Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses
01.11Z;Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses
1.12;Culture du riz
01.12Z;Culture du riz
1.13;Culture de légumes, de melons, de racines et de tubercules
01.13Z;Culture de légumes, de melons, de racines et de tubercules
1.14;Culture de la canne à sucre
01.14Z;Culture de la canne à sucre
1.15;Culture du tabac
01.15Z;Culture du tabac
1.16;Culture de plantes à fibres
01.16Z;Culture de plantes à fibres
1.19;Autres cultures non permanentes
01.19Z;Autres cultures non permanentes
1.2;Cultures permanentes
1.21;Culture de la vigne
01.21Z;Culture de la vigne
1.22;Culture de fruits tropicaux et subtropicaux
01.22Z;Culture de fruits tropicaux et subtropicaux
1.23;Culture d'agrumes
01.23Z;Culture d'agrumes
1.24;Culture de fruits à pépins et à noyau
01.24Z;Culture de fruits à pépins et à noyau
1.25;Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque
01.25Z;Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque
1.26;Culture de fruits oléagineux
01.26Z;Culture de fruits oléagineux
1.27;Culture de plantes à boissons
01.27Z;Culture de plantes à boissons
1.28;Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques
01.28Z;Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques
1.29;Autres cultures permanentes
01.29Z;Autres cultures permanentes
1.3;Reproduction de plantes
1.3;Reproduction de plantes
01.30Z;Reproduction de plantes
1.4;Production animale
1.41;Élevage de vaches laitières
01.41Z;Élevage de vaches laitières
1.42;Élevage d'autres bovins et de buffles
01.42Z;Élevage d'autres bovins et de buffles
1.43;Élevage de chevaux et d'autres équidés
01.43Z;Élevage de chevaux et d'autres équidés
1.44;Élevage de chameaux et d'autres camélidés
01.44Z;Élevage de chameaux et d'autres camélidés
1.45;Élevage d'ovins et de caprins
01.45Z;Élevage d'ovins et de caprins
1.46;Élevage de porcins
01.46Z;Élevage de porcins
1.47;Élevage de volailles
01.47Z;Élevage de volailles
1.49;Élevage d'autres animaux
01.49Z;Élevage d'autres animaux
1.5;Culture et élevage associés
1.5;Culture et élevage associés
01.50Z;Culture et élevage associés
1.6;Activités de soutien à l'agriculture et traitement primaire des récoltes
1.61;Activités de soutien aux cultures
01.61Z;Activités de soutien aux cultures
1.62;Activités de soutien à la production animale
01.62Z;Activités de soutien à la production animale
1.63;Traitement primaire des récoltes
01.63Z;Traitement primaire des récoltes
1.64;Traitement des semences
01.64Z;Traitement des semences
1.7;Chasse, piégeage et services annexes
1.7;Chasse, piégeage et services annexes
01.70Z;Chasse, piégeage et services annexes
2;Sylviculture et exploitation forestière
2.1;Sylviculture et autres activités forestières
2.1;Sylviculture et autres activités forestières
02.10Z;Sylviculture et autres activités forestières
2.2;Exploitation forestière
2.2;Exploitation forestière
02.20Z;Exploitation forestière
2.3;Récolte de produits forestiers non ligneux poussant à l'état sauvage
2.3;Récolte de produits forestiers non ligneux poussant à l'état sauvage
02.30Z;Récolte de produits forestiers non ligneux poussant à l'état sauvage
2.4;Services de soutien à l'exploitation forestière
2.4;Services de soutien à l'exploitation forestière
02.40Z;Services de soutien à l'exploitation forestière
3;Pêche et aquaculture
3.1;Pêche
3.11;Pêche en mer
03.11Z;Pêche en mer
3.12;Pêche en eau douce
03.12Z;Pêche en eau douce
3.2;Aquaculture
3.21;Aquaculture en mer
03.21Z;Aquaculture en mer
3.22;Aquaculture en eau douce
03.22Z;Aquaculture en eau douce
SECTION B;INDUSTRIES EXTRACTIVES
5;Extraction de houille et de lignite
5.1;Extraction de houille
5.1;Extraction de houille
05.10Z;Extraction de houille
5.2;Extraction de lignite
5.2;Extraction de lignite
05.20Z;Extraction de lignite
6;Extraction d'hydrocarbures
6.1;Extraction de pétrole brut
6.1;Extraction de pétrole brut
06.10Z;Extraction de pétrole brut
6.2;Extraction de gaz naturel
6.2;Extraction de gaz naturel
06.20Z;Extraction de gaz naturel
7;Extraction de minerais métalliques
7.1;Extraction de minerais de fer
7.1;Extraction de minerais de fer
07.10Z;Extraction de minerais de fer
7.2;Extraction de minerais de métaux non ferreux
7.21;Extraction de minerais d'uranium et de thorium
07.21Z;Extraction de minerais d'uranium et de thorium
7.29;Extraction d'autres minerais de métaux non ferreux
07.29Z;Extraction d'autres minerais de métaux non ferreux
8;Autres industries extractives
8.1;Extraction de pierres, de sables et d'argiles
8.11;Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise
08.11Z;Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise
8.12;Exploitation de gravières et sablières, extraction d’argiles et de kaolin
08.12Z;Exploitation de gravières et sablières, extraction d’argiles et de kaolin
8.9;Activités extractives n.c.a.
8.91;Extraction des minéraux chimiques et d'engrais minéraux
08.91Z;Extraction des minéraux chimiques et d'engrais minéraux
8.92;Extraction de tourbe
08.92Z;Extraction de tourbe
8.93;Production de sel
08.93Z;Production de sel
8.99;Autres activités extractives n.c.a.
08.99Z;Autres activités extractives n.c.a.
9;Services de soutien aux industries extractives
9.1;Activités de soutien à l'extraction d'hydrocarbures
9.1;Activités de soutien à l'extraction d'hydrocarbures
09.10Z;Activités de soutien à l'extraction d'hydrocarbures
9.9;Activités de soutien aux autres industries extractives
9.9;Activités de soutien aux autres industries extractives
09.90Z;Activités de soutien aux autres industries extractives
SECTION C;INDUSTRIE MANUFACTURIÈRE
10;Industries alimentaires
10.1;Transformation et conservation de la viande et préparation de produits à base de viande
10.11;Transformation et conservation de la viande de boucherie
10.11Z;Transformation et conservation de la viande de boucherie
10.12;Transformation et conservation de la viande de volaille
10.12Z;Transformation et conservation de la viande de volaille
10.13;Préparation de produits à base de viande
10.13A;Préparation industrielle de produits à base de viande
10.13B;Charcuterie
10.2;Transformation et conservation de poisson, de crustacés et de mollusques
10.2;Transformation et conservation de poisson, de crustacés et de mollusques
10.20Z;Transformation et conservation de poisson, de crustacés et de mollusques
10.3;Transformation et conservation de fruits et légumes
10.31;Transformation et conservation de pommes de terre
10.31Z;Transformation et conservation de pommes de terre
10.32;Préparation de jus de fruits et légumes
10.32Z;Préparation de jus de fruits et légumes
10.39;Autre transformation et conservation de fruits et légumes
10.39A;Autre transformation et conservation de légumes
10.39B;Transformation et conservation de fruits
10.4;Fabrication d’huiles et graisses végétales et animales
10.41;Fabrication d'huiles et graisses
10.41A;Fabrication d'huiles et graisses brutes
10.41B;Fabrication d'huiles et graisses raffinées
10.42;Fabrication de margarine et graisses comestibles similaires
10.42Z;Fabrication de margarine et graisses comestibles similaires
10.5;Fabrication de produits laitiers
10.51;Exploitation de laiteries et fabrication de fromage
10.51A;Fabrication de lait liquide et de produits frais
10.51B;Fabrication de beurre
10.51C;Fabrication de fromage
10.51D;Fabrication d'autres produits laitiers
10.52;Fabrication de glaces et sorbets
10.52Z;Fabrication de glaces et sorbets
10.6;"Travail des grains ; fabrication de produits amylacés"
10.61;Travail des grains
10.61A;Meunerie
10.61B;Autres activités du travail des grains
10.62;Fabrication de produits amylacés
10.62Z;Fabrication de produits amylacés
10.7;Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires
10.71;Fabrication de pain et de pâtisserie fraîche
10.71A;Fabrication industrielle de pain et de pâtisserie fraîche
10.71B;Cuisson de produits de boulangerie
10.71C;Boulangerie et boulangerie-pâtisserie
10.71D;Pâtisserie
10.72;Fabrication de biscuits, biscottes et pâtisseries de conservation
10.72Z;Fabrication de biscuits, biscottes et pâtisseries de conservation
10.73;Fabrication de pâtes alimentaires
10.73Z;Fabrication de pâtes alimentaires
10.8;Fabrication d'autres produits alimentaires
10.81;Fabrication de sucre
10.81Z;Fabrication de sucre
10.82;Fabrication de cacao, chocolat et de produits de confiserie
10.82Z;Fabrication de cacao, chocolat et de produits de confiserie
10.83;Transformation du thé et du café
10.83Z;Transformation du thé et du café
10.84;Fabrication de condiments et assaisonnements
10.84Z;Fabrication de condiments et assaisonnements
10.85;Fabrication de plats préparés
10.85Z;Fabrication de plats préparés
10.86;Fabrication d'aliments homogénéisés et diététiques
10.86Z;Fabrication d'aliments homogénéisés et diététiques
10.89;Fabrication d'autres produits alimentaires n.c.a.
10.89Z;Fabrication d'autres produits alimentaires n.c.a.
10.9;Fabrication d'aliments pour animaux
10.91;Fabrication d'aliments pour animaux de ferme
10.91Z;Fabrication d'aliments pour animaux de ferme
10.92;Fabrication d'aliments pour animaux de compagnie
10.92Z;Fabrication d'aliments pour animaux de compagnie
11;Fabrication de boissons
11;Fabrication de boissons
11.01;Production de boissons alcooliques distillées
11.01Z;Production de boissons alcooliques distillées
11.02;Production de vin (de raisin)
11.02A;Fabrication de vins effervescents
11.02B;Vinification
11.03;Fabrication de cidre et de vins de fruits
11.03Z;Fabrication de cidre et de vins de fruits
11.04;Production d'autres boissons fermentées non distillées
11.04Z;Production d'autres boissons fermentées non distillées
11.05;Fabrication de bière
11.05Z;Fabrication de bière
11.06;Fabrication de malt
11.06Z;Fabrication de malt
11.07;Industrie des eaux minérales et autres eaux embouteillées et des boissons rafraîchissantes
11.07A;Industrie des eaux de table
11.07B;Production de boissons rafraîchissantes
12;Fabrication de produits à base de tabac
12;Fabrication de produits à base de tabac
12;Fabrication de produits à base de tabac
12.00Z;Fabrication de produits à base de tabac
13;Fabrication de textiles
13.1;Préparation de fibres textiles et filature
13.1;Préparation de fibres textiles et filature
13.10Z;Préparation de fibres textiles et filature
13.2;Tissage
13.2;Tissage
13.20Z;Tissage
13.3;Ennoblissement textile
13.3;Ennoblissement textile
13.30Z;Ennoblissement textile
13.9;Fabrication d'autres textiles
13.91;Fabrication d'étoffes à mailles
13.91Z;Fabrication d'étoffes à mailles
13.92;Fabrication d'articles textiles, sauf habillement
13.92Z;Fabrication d'articles textiles, sauf habillement
13.93;Fabrication de tapis et moquettes
13.93Z;Fabrication de tapis et moquettes
13.94;Fabrication de ficelles, cordes et filets
13.94Z;Fabrication de ficelles, cordes et filets
13.95;Fabrication de non-tissés, sauf habillement
13.95Z;Fabrication de non-tissés, sauf habillement
13.96;Fabrication d'autres textiles techniques et industriels
13.96Z;Fabrication d'autres textiles techniques et industriels
13.99;Fabrication d'autres textiles n.c.a.
13.99Z;Fabrication d'autres textiles n.c.a.
14;Industrie de l'habillement
14.1;Fabrication de vêtements, autres qu'en fourrure
14.11;Fabrication de vêtements en cuir
14.11Z;Fabrication de vêtements en cuir
14.12;Fabrication de vêtements de travail
14.12Z;Fabrication de vêtements de travail
14.13;Fabrication de vêtements de dessus
14.13Z;Fabrication de vêtements de dessus
14.14;Fabrication de vêtements de dessous
14.14Z;Fabrication de vêtements de dessous
14.19;Fabrication d'autres vêtements et accessoires
14.19Z;Fabrication d'autres vêtements et accessoires
14.2;Fabrication d'articles en fourrure
14.2;Fabrication d'articles en fourrure
14.20Z;Fabrication d'articles en fourrure
14.3;Fabrication d'articles à mailles
14.31;Fabrication d'articles chaussants à mailles
14.31Z;Fabrication d'articles chaussants à mailles
14.39;Fabrication d'autres articles à mailles
14.39Z;Fabrication d'autres articles à mailles
15;Industrie du cuir et de la chaussure
15.1;"Apprêt et tannage des cuirs ; préparation et teinture des fourrures ; fabrication d'articles de voyage, de maroquinerie et de sellerie"
15.11;"Apprêt et tannage des cuirs ; préparation et teinture des fourrures"
15.11Z;"Apprêt et tannage des cuirs ; préparation et teinture des fourrures"
15.12;Fabrication d'articles de voyage, de maroquinerie et de sellerie
15.12Z;Fabrication d'articles de voyage, de maroquinerie et de sellerie
15.2;Fabrication de chaussures
15.2;Fabrication de chaussures
15.20Z;Fabrication de chaussures
16;"Travail du bois et fabrication d'articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie"
16.1;Sciage et rabotage du bois
16.1;Sciage et rabotage du bois
16.10A;Sciage et rabotage du bois, hors imprégnation
16.10B;Imprégnation du bois
16.2;Fabrication d'articles en bois, liège, vannerie et sparterie
16.21;Fabrication de placage et de panneaux de bois
16.21Z;Fabrication de placage et de panneaux de bois
16.22;Fabrication de parquets assemblés
16.22Z;Fabrication de parquets assemblés
16.23;Fabrication de charpentes et d'autres menuiseries
16.23Z;Fabrication de charpentes et d'autres menuiseries
16.24;Fabrication d'emballages en bois
16.24Z;Fabrication d'emballages en bois
16.29;"Fabrication d'objets divers en bois ; fabrication d'objets en liège, vannerie et sparterie"
16.29Z;"Fabrication d'objets divers en bois ; fabrication d'objets en liège, vannerie et sparterie"
17;Industrie du papier et du carton
17.1;Fabrication de pâte à papier, de papier et de carton
17.11;Fabrication de pâte à papier
17.11Z;Fabrication de pâte à papier
17.12;Fabrication de papier et de carton
17.12Z;Fabrication de papier et de carton
17.2;Fabrication d'articles en papier ou en carton
17.21;Fabrication de papier et carton ondulés et d'emballages en papier ou en carton
17.21A;Fabrication de carton ondulé
17.21B;Fabrication de cartonnages
17.21C;Fabrication d'emballages en papier
17.22;Fabrication d'articles en papier à usage sanitaire ou domestique
17.22Z;Fabrication d'articles en papier à usage sanitaire ou domestique
17.23;Fabrication d'articles de papeterie
17.23Z;Fabrication d'articles de papeterie
17.24;Fabrication de papiers peints
17.24Z;Fabrication de papiers peints
17.29;Fabrication d'autres articles en papier ou en carton
17.29Z;Fabrication d'autres articles en papier ou en carton
18;Imprimerie et reproduction d'enregistrements
18.1;Imprimerie et services annexes
18.11;Imprimerie de journaux
18.11Z;Imprimerie de journaux
18.12;Autre imprimerie (labeur)
18.12Z;Autre imprimerie (labeur)
18.13;Activités de pré-presse
18.13Z;Activités de pré-presse
18.14;Reliure et activités connexes
18.14Z;Reliure et activités connexes
18.2;Reproduction d'enregistrements
18.2;Reproduction d'enregistrements
18.20Z;Reproduction d'enregistrements
19;Cokéfaction et raffinage
19.1;Cokéfaction
19.1;Cokéfaction
19.10Z;Cokéfaction
19.2;Raffinage du pétrole
19.2;Raffinage du pétrole
19.20Z;Raffinage du pétrole
20;Industrie chimique
20.1;Fabrication de produits chimiques de base, de produits azotés et d'engrais, de matières plastiques de base et de caoutchouc synthétique
20.11;Fabrication de gaz industriels
20.11Z;Fabrication de gaz industriels
20.12;Fabrication de colorants et de pigments
20.12Z;Fabrication de colorants et de pigments
20.13;Fabrication d'autres produits chimiques inorganiques de base
20.13A;Enrichissement et  retraitement de matières nucléaires
20.13B;Fabrication d'autres produits chimiques inorganiques de base n.c.a.
20.14;Fabrication d'autres produits chimiques organiques de base
20.14Z;Fabrication d'autres produits chimiques organiques de base
20.15;Fabrication de produits azotés et d'engrais
20.15Z;Fabrication de produits azotés et d'engrais
20.16;Fabrication de matières plastiques de base
20.16Z;Fabrication de matières plastiques de base
20.17;Fabrication de caoutchouc synthétique
20.17Z;Fabrication de caoutchouc synthétique
20.2;Fabrication de pesticides et d’autres produits agrochimiques
20.2;Fabrication de pesticides et d’autres produits agrochimiques
20.20Z;Fabrication de pesticides et d’autres produits agrochimiques
20.3;Fabrication de peintures, vernis, encres et mastics
20.3;Fabrication de peintures, vernis, encres et mastics
20.30Z;Fabrication de peintures, vernis, encres et mastics
20.4;Fabrication de savons, de produits d'entretien et de parfums
20.41;Fabrication de savons, détergents et produits d'entretien
20.41Z;Fabrication de savons, détergents et produits d'entretien
20.42;Fabrication de parfums et de produits pour la toilette
20.42Z;Fabrication de parfums et de produits pour la toilette
20.5;Fabrication d'autres produits chimiques
20.51;Fabrication de produits explosifs
20.51Z;Fabrication de produits explosifs
20.52;Fabrication de colles
20.52Z;Fabrication de colles
20.53;Fabrication d'huiles essentielles
20.53Z;Fabrication d'huiles essentielles
20.59;Fabrication d'autres produits chimiques n.c.a.
20.59Z;Fabrication d'autres produits chimiques n.c.a.
20.6;Fabrication de fibres artificielles ou synthétiques
20.6;Fabrication de fibres artificielles ou synthétiques
20.60Z;Fabrication de fibres artificielles ou synthétiques
21;Industrie pharmaceutique
21.1;Fabrication de produits pharmaceutiques de base
21.1;Fabrication de produits pharmaceutiques de base
21.10Z;Fabrication de produits pharmaceutiques de base
21.2;Fabrication de préparations pharmaceutiques
21.2;Fabrication de préparations pharmaceutiques
21.20Z;Fabrication de préparations pharmaceutiques
22;Fabrication de produits en caoutchouc et en plastique
22.1;Fabrication de produits en caoutchouc
22.11;Fabrication et rechapage de pneumatiques
22.11Z;Fabrication et rechapage de pneumatiques
22.19;Fabrication d'autres articles en caoutchouc
22.19Z;Fabrication d'autres articles en caoutchouc
22.2;Fabrication  de produits en plastique
22.21;Fabrication de plaques, feuilles, tubes et profilés en matières plastiques
22.21Z;Fabrication de plaques, feuilles, tubes et profilés en matières plastiques
22.22;Fabrication d'emballages en matières plastiques
22.22Z;Fabrication d'emballages en matières plastiques
22.23;Fabrication d'éléments en matières plastiques pour la construction
22.23Z;Fabrication d'éléments en matières plastiques pour la construction
22.29;Fabrication d'autres articles en matières plastiques
22.29A;Fabrication de pièces techniques à base de matières plastiques
22.29B;Fabrication de produits de consommation courante en matières plastiques
23;Fabrication d'autres produits minéraux non métalliques
23.1;Fabrication de verre et d'articles en verre
23.11;Fabrication de verre plat
23.11Z;Fabrication de verre plat
23.12;Façonnage et transformation du verre plat
23.12Z;Façonnage et transformation du verre plat
23.13;Fabrication de verre creux
23.13Z;Fabrication de verre creux
23.14;Fabrication de fibres de verre
23.14Z;Fabrication de fibres de verre
23.19;Fabrication et façonnage d'autres articles en verre, y compris verre technique
23.19Z;Fabrication et façonnage d'autres articles en verre, y compris verre technique
23.2;Fabrication de produits réfractaires
23.2;Fabrication de produits réfractaires
23.20Z;Fabrication de produits réfractaires
23.3;Fabrication de matériaux de construction en terre cuite
23.31;Fabrication de carreaux en céramique
23.31Z;Fabrication de carreaux en céramique
23.32;Fabrication de briques, tuiles et produits de construction, en terre cuite
23.32Z;Fabrication de briques, tuiles et produits de construction, en terre cuite
23.4;Fabrication d'autres produits en céramique et en porcelaine
23.41;Fabrication d'articles céramiques à usage domestique ou ornemental
23.41Z;Fabrication d'articles céramiques à usage domestique ou ornemental
23.42;Fabrication d'appareils sanitaires en céramique
23.42Z;Fabrication d'appareils sanitaires en céramique
23.43;Fabrication d'isolateurs et pièces isolantes en céramique
23.43Z;Fabrication d'isolateurs et pièces isolantes en céramique
23.44;Fabrication d'autres produits céramiques à usage technique
23.44Z;Fabrication d'autres produits céramiques à usage technique
23.49;Fabrication d'autres produits céramiques
23.49Z;Fabrication d'autres produits céramiques
23.5;Fabrication de ciment, chaux et plâtre
23.51;Fabrication de ciment
23.51Z;Fabrication de ciment
23.52;Fabrication de chaux et plâtre
23.52Z;Fabrication de chaux et plâtre
23.6;Fabrication d'ouvrages en béton, en ciment ou en plâtre
23.61;Fabrication d'éléments en béton pour la construction
23.61Z;Fabrication d'éléments en béton pour la construction
23.62;Fabrication d'éléments en plâtre pour la construction
23.62Z;Fabrication d'éléments en plâtre pour la construction
23.63;Fabrication de béton prêt à l'emploi
23.63Z;Fabrication de béton prêt à l'emploi
23.64;Fabrication de mortiers et bétons secs
23.64Z;Fabrication de mortiers et bétons secs
23.65;Fabrication d'ouvrages en fibre-ciment
23.65Z;Fabrication d'ouvrages en fibre-ciment
23.69;Fabrication d'autres ouvrages en béton, en ciment ou en plâtre
23.69Z;Fabrication d'autres ouvrages en béton, en ciment ou en plâtre
23.7;Taille, façonnage et finissage de pierres
23.7;Taille, façonnage et finissage de pierres
23.70Z;Taille, façonnage et finissage de pierres
23.9;Fabrication de produits abrasifs et de produits minéraux non métalliques n.c.a.
23.91;Fabrication de produits abrasifs
23.91Z;Fabrication de produits abrasifs
23.99;Fabrication d'autres produits minéraux non métalliques n.c.a.
23.99Z;Fabrication d'autres produits minéraux non métalliques n.c.a.
24;Métallurgie
24.1;Sidérurgie
24.1;Sidérurgie
24.10Z;Sidérurgie
24.2;Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier
24.2;Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier
24.20Z;Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier
24.3;Fabrication d'autres produits de première transformation de l'acier
24.31;Étirage à froid de barres
24.31Z;Étirage à froid de barres
24.32;Laminage à froid de feuillards
24.32Z;Laminage à froid de feuillards
24.33;Profilage à froid par formage ou pliage
24.33Z;Profilage à froid par formage ou pliage
24.34;Tréfilage à froid
24.34Z;Tréfilage à froid
24.4;Production de métaux précieux et d'autres métaux non ferreux
24.41;Production de métaux précieux
24.41Z;Production de métaux précieux
24.42;Métallurgie de l'aluminium
24.42Z;Métallurgie de l'aluminium
24.43;Métallurgie du plomb, du zinc ou de l'étain
24.43Z;Métallurgie du plomb, du zinc ou de l'étain
24.44;Métallurgie du cuivre
24.44Z;Métallurgie du cuivre
24.45;Métallurgie des autres métaux non ferreux
24.45Z;Métallurgie des autres métaux non ferreux
24.46;Élaboration et transformation de matières nucléaires
24.46Z;Élaboration et transformation de matières nucléaires
24.5;Fonderie
24.51;Fonderie de fonte
24.51Z;Fonderie de fonte
24.52;Fonderie d'acier
24.52Z;Fonderie d'acier
24.53;Fonderie de métaux légers
24.53Z;Fonderie de métaux légers
24.54;Fonderie d'autres métaux non ferreux
24.54Z;Fonderie d'autres métaux non ferreux
25;Fabrication de produits métalliques, à l’exception des machines et des équipements
25.1;Fabrication d'éléments en métal pour la construction
25.11;Fabrication de structures métalliques et de parties de structures
25.11Z;Fabrication de structures métalliques et de parties de structures
25.12;Fabrication de portes et fenêtres en métal
25.12Z;Fabrication de portes et fenêtres en métal
25.2;Fabrication de réservoirs, citernes et conteneurs métalliques
25.21;Fabrication de radiateurs et de chaudières pour le chauffage central
25.21Z;Fabrication de radiateurs et de chaudières pour le chauffage central
25.29;Fabrication d'autres réservoirs, citernes et conteneurs métalliques
25.29Z;Fabrication d'autres réservoirs, citernes et conteneurs métalliques
25.3;Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central
25.3;Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central
25.30Z;Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central
25.4;Fabrication d'armes et de munitions
25.4;Fabrication d'armes et de munitions
25.40Z;Fabrication d'armes et de munitions
25.5;"Forge, emboutissage, estampage ; métallurgie des poudres"
25.5;"Forge, emboutissage, estampage ; métallurgie des poudres"
25.50A;"Forge, estampage, matriçage ; métallurgie des poudres"
25.50B;Découpage, emboutissage
25.6;"Traitement et revêtement des métaux ; usinage"
25.61;Traitement et revêtement des métaux
25.61Z;Traitement et revêtement des métaux
25.62;Usinage
25.62A;Décolletage
25.62B;Mécanique industrielle
25.7;Fabrication de coutellerie, d'outillage et de quincaillerie
25.71;Fabrication de coutellerie
25.71Z;Fabrication de coutellerie
25.72;Fabrication de serrures et de ferrures
25.72Z;Fabrication de serrures et de ferrures
25.73;Fabrication d'outillage
25.73A;Fabrication de moules et modèles
25.73B;Fabrication d'autres outillages
25.9;Fabrication d'autres ouvrages en métaux
25.91;Fabrication de fûts et emballages métalliques similaires
25.91Z;Fabrication de fûts et emballages métalliques similaires
25.92;Fabrication d'emballages métalliques légers
25.92Z;Fabrication d'emballages métalliques légers
25.93;Fabrication d'articles en fils métalliques, de chaînes et de ressorts
25.93Z;Fabrication d'articles en fils métalliques, de chaînes et de ressorts
25.94;Fabrication de vis et de boulons
25.94Z;Fabrication de vis et de boulons
25.99;Fabrication d'autres produits métalliques n.c.a.
25.99A;Fabrication d'articles métalliques ménagers
25.99B;Fabrication d'autres articles métalliques
26;Fabrication de produits informatiques, électroniques et optiques
26.1;Fabrication de composants et cartes électroniques
26.11;Fabrication de composants électroniques
26.11Z;Fabrication de composants électroniques
26.12;Fabrication de cartes électroniques assemblées
26.12Z;Fabrication de cartes électroniques assemblées
26.2;Fabrication d'ordinateurs et d'équipements périphériques
26.2;Fabrication d'ordinateurs et d'équipements périphériques
26.20Z;Fabrication d'ordinateurs et d'équipements périphériques
26.3;Fabrication d'équipements de communication
26.3;Fabrication d'équipements de communication
26.30Z;Fabrication d'équipements de communication
26.4;Fabrication de produits électroniques grand public
26.4;Fabrication de produits électroniques grand public
26.40Z;Fabrication de produits électroniques grand public
26.5;"Fabrication d'instruments et d'appareils de mesure, d'essai et de navigation ; horlogerie"
26.51;Fabrication d'instruments et d'appareils de mesure, d'essai et de navigation
26.51A;Fabrication d'équipements d'aide à la navigation
26.51B;Fabrication d'instrumentation scientifique et technique
26.52;Horlogerie
26.52Z;Horlogerie
26.6;Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques
26.6;Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques
26.60Z;Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques
26.7;Fabrication de matériels optique et photographique
26.7;Fabrication de matériels optique et photographique
26.70Z;Fabrication de matériels optique et photographique
26.8;Fabrication de supports magnétiques et optiques
26.8;Fabrication de supports magnétiques et optiques
26.80Z;Fabrication de supports magnétiques et optiques
27;Fabrication d'équipements électriques
27.1;Fabrication de moteurs, génératrices et transformateurs électriques et de matériel de distribution et de commande électrique
27.11;Fabrication de moteurs, génératrices et transformateurs électriques
27.11Z;Fabrication de moteurs, génératrices et transformateurs électriques
27.12;Fabrication de matériel de distribution et de commande électrique
27.12Z;Fabrication de matériel de distribution et de commande électrique
27.2;Fabrication de piles et d'accumulateurs électriques
27.2;Fabrication de piles et d'accumulateurs électriques
27.20Z;Fabrication de piles et d'accumulateurs électriques
27.3;Fabrication de fils et câbles et de matériel d'installation électrique
27.31;Fabrication de câbles de fibres optiques
27.31Z;Fabrication de câbles de fibres optiques
27.32;Fabrication d'autres fils et câbles électroniques ou électriques
27.32Z;Fabrication d'autres fils et câbles électroniques ou électriques
27.33;Fabrication de matériel d'installation électrique
27.33Z;Fabrication de matériel d'installation électrique
27.4;Fabrication d'appareils d'éclairage électrique
27.4;Fabrication d'appareils d'éclairage électrique
27.40Z;Fabrication d'appareils d'éclairage électrique
27.5;Fabrication d'appareils ménagers
27.51;Fabrication d'appareils électroménagers
27.51Z;Fabrication d'appareils électroménagers
27.52;Fabrication d'appareils ménagers non électriques
27.52Z;Fabrication d'appareils ménagers non électriques
27.9;Fabrication d'autres matériels électriques
27.9;Fabrication d'autres matériels électriques
27.90Z;Fabrication d'autres matériels électriques
28;Fabrication de machines et équipements n.c.a.
28.1;Fabrication de machines d'usage général
28.11;Fabrication de moteurs et turbines, à l'exception des moteurs d’avions et de véhicules
28.11Z;Fabrication de moteurs et turbines, à l'exception des moteurs d’avions et de véhicules
28.12;Fabrication d'équipements hydrauliques et pneumatiques
28.12Z;Fabrication d'équipements hydrauliques et pneumatiques
